,koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
3374,96.4561033,11.209,5.56,589,7030,4.143,1.666,0
3377,87.9732136,14.69,2.7,384,5821,4.554,0.848,0
3381,75.3772871,6.9,78.16,389,5587,4.552,0.856,0
3382,213.257663,7.775,2.85,202,4476,4.649,0.637,0
3388,58.0341086,5.536,1.96,392,5500,4.62,0.682,0
3400,184.256405,11.283,2.36,408,6347,4.185,1.373,0
3409,106.260935,6.561,1.72,303,4827,4.508,0.823,0
3428,54.2812031,5.317,1.43,525,6086,4.389,1.111,0
3442,109.6471842,6.248,2.46,340,5649,4.573,0.797,0
3445,69.2004227,5.571,156.31,619,7092,4.265,1.449,0
3450,174.639617,15.969,6.56,370,6299,4.401,1.167,0
3458,234.635379,6.897,2.51,273,5735,4.544,0.831,0
3459,253.355007,25.057,25.41,555,5177,3.216,5.949,0
3461,56.5735997,3.988,2.19,317,4514,4.652,0.639,0
3463,132.9968322,7.469,2.7,241,4530,4.644,0.657,0
3471,205.38445,8.602,2.31,201,4400,4.645,0.631,0
3483,112.645118,7.421,60.73,377,5897,4.489,0.992,0
3514,76.613377,9.762,2.48,463,6170,4.416,1.021,0
3523,79.2455988,5.326,3.91,404,5648,4.464,0.917,0
3530,59.4970952,5.602,3.24,369,4817,4.499,0.833,0
3531,505.463987,10.015,3.45,181,4817,4.499,0.833,0
3537,136.205626,5.491,2.43,251,4650,4.607,0.688,0
3546,159.388051,8.395,2.58,289,5418,4.576,0.812,0
3571,103.427188,5.2,3.23,414,6194,4.457,1.02,0
3595,75.8580337,5.051,2.71,281,4467,4.67,0.614,0
3610,346.36642,14.94,1.57,314,6327,4.276,1.259,0
3648,99.2530951,6.006,1.77,318,5129,4.562,0.754,0
3650,119.0839741,2.781,66.8,241,4412,4.65,0.63,0
3660,54.4092333,9.511,1.36,464,5883,4.53,0.892,0
3694,175.328388,4.794,3.59,327,6008,4.499,0.93,0
3711,82.6604944,4.303,3.34,233,3952,4.716,0.55,0
3730,60.866168,4.42,1.56,251,3903,4.735,0.523,0
3734,86.1150888,6.13,3.24,444,6167,4.444,1.064,0
3758,161.236594,24.47,4.36,294,5514,4.569,0.826,0
3787,77.919533,6.326,1.36,362,5120,4.478,0.853,0
3811,174.732103,8.251,2.73,277,5463,4.594,0.759,0
3875,75.37895684,7.71755,59.19,364,5412,4.595,0.769,0
3876,161.20418,22.895,54.62,648,9302,4.226,1.856,0
3880,94.2245418,29.181,33.62,597,6911,4.038,1.501,0
3891,56.34811,8.688,1.16,606,5968,4.088,1.59,0
3908,92.464806,15.492,1.76,491,5316,3.926,1.672,0
3909,96.8172233,10.22,2.12,587,7095,4.134,1.523,0
3924,81.4162941,12.1444,2.96,488,6499,4.394,1.095,0
3944,214.7181473,19.122,11.65,393,5033,3.734,2.095,0
3954,66.6505482,5.618,1.37,294,4427,4.639,0.622,0
3955,55.7002642,4.285,1.18,309,4267,4.608,0.67,0
3957,72.9333382,3.839,2.19,363,5376,4.604,0.758,0
3958,56.6747285,5.422,2.84,468,5910,4.505,0.94,0
3961,76.87935073,2.37,6.89,190,3587,4.888,0.38,0
3964,54.5094166,4.222,1.55,310,4405,4.655,0.61,0
3977,88.181186,5.0285,2.94,356,5463,4.575,0.83,0
3986,51.1110243,7.987,1.75,478,5968,4.534,0.881,0
3995,62.8691611,5.778,1.58,377,4947,4.476,0.868,0
3996,84.8064917,9.2135,34.49,389,5737,4.521,0.856,0
4002,69.3800706,3.424,2.31,421,5806,4.529,0.874,0
4005,65.6488341,7.431,3.16,390,5436,4.573,0.819,0
4010,71.05454653,1.9271,6.11,390,5290,4.46,0.865,0
4024,85.06239161,4.6993,4899.78,355,5223,4.52,0.875,0
4029,86.4383769,6.814,100.22,440,6194,4.457,1.02,0
4032,63.9010267,8.756,8.33,353,5204,4.63,0.634,0
4037,53.50186969,5.3032,56.5,405,5432,4.604,0.737,0
