koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
1.245342201,4.434,259.92,3884,7204,3.478,4.273,1
0.604755707,1.3855,1.25,1621,4841,4.593,0.743,1
4.200205777,5.4877,47.31,1737,6873,4.051,1.923,1
0.766473386,2.4634,42.32,1626,5297,4.594,0.722,1
1.25334355,4.862,0.69,1890,5861,4.246,1.16,1
1.620813157,5.7032,42.93,1732,5757,4.209,1.177,1
1.9956507,3.629,1.13,2579,6763,3.756,2.6,1
0.898799064,1.984,0.73,2278,6225,4.25,1.273,1
2.15838799,6.675,99.89,1830,5210,3.778,1.946,1
2.2127359,3.457,0.49,1528,6191,4.387,1.005,1
0.776976077,1.94865,47.52,2084,5999,4.423,1.042,1
0.687772085,2.55338,46.51,2097,5885,4.413,0.933,1
0.843651293,2.80488,40.19,1552,5220,4.578,0.695,1
1.75242244,13.7,2.34,1552,5779,4.364,0.99,1
2.212877175,4.71059,68.1,1508,6153,4.405,1,1
0.845102191,1.858,0.7,1601,5261,4.58,0.804,1
0.676990205,1.68817,38.5,1918,5810,4.569,0.812,1
0.515875396,1.21,7.22,3189,7229,4.278,1.38,1
1.195516531,6.23235,76.55,1715,5780,4.438,1,1
0.733726411,2.205,0.95,2602,6175,4.099,1.405,1
1.28942156,3.7,0.68,1984,6450,4.337,1.143,1
1.053572836,1.70636,35.21,1769,5835,4.453,0.907,1
0.970085594,1.1168,18.93,4494,4800,2.681,11.308,1
0.920987473,6.71,4.05,3296,7687,4.042,2.154,1
0.715381717,0.189,8.01,2364,6418,4.395,1.171,1
2.264471433,7.1742,102.06,2105,6782,4.014,1.752,1
0.698365395,1.0916,5.51,2331,6116,4.318,1.15,1
1.42877514,5.462,0.96,1738,6197,4.449,1.035,1
1.106560741,2.64533,55.95,1782,6205,4.534,0.873,1
0.72162443,2.47266,41.28,1603,5067,4.565,0.715,1
